Player_Name,Role,Runs_Scored,Wickets_Taken,T_Matches_Played,T_Innings_Batted,T_Overs_Bowled,Batting_Style,Bowling_Style
KV Sharma,Bowler,0.0,83.0,0.0,0.0,264.1,Left hand Bat,Legbreak Googly
Kuldeep Yadav,Bowler,0.0,102.0,0.0,0.0,342.0,Left hand Bat,Left arm Wrist spin
L Balaji,Bowler,0.0,76.0,0.0,0.0,252.1,Right hand Bat,Right arm Medium fast
LH Ferguson,Bowler,0.0,51.0,0.0,0.0,170.3,Right hand Bat,Right arm Fast
LMP Simmons,Top order Batter,1079.0,0.0,29.0,29.0,0.0,Right hand Bat,Right arm Medium fast
LRPL Taylor,Middle order Batter,1017.0,0.0,55.0,54.0,0.0,Right hand Bat,Right arm Offbreak
LS Livingstone,Batting Allrounder,1051.0,0.0,49.0,47.0,0.0,Right hand Bat,"Right arm Offbreak, Legbreak"
M Manhas,Allrounder,514.0,0.0,55.0,38.0,0.0,Right hand Bat,Right arm Offbreak
M Morkel,Bowler,0.0,77.0,0.0,0.0,271.3,Left hand Bat,Right arm Fast
M Pathirana,Bowler,0.0,47.0,0.0,0.0,117.0,Right hand Bat,Right arm Fast
M Prasidh Krishna,Bowler,0.0,74.0,0.0,0.0,249.5,Right hand Bat,Right arm Fast medium
M Shahrukh Khan,Batter,732.0,0.0,55.0,49.0,0.0,Right hand Bat,Right arm Offbreak
M Vijay,Opening Batter,2619.0,0.0,106.0,106.0,0.0,Right hand Bat,Right arm Offbreak
M Vohra,Opening Batter,1083.0,0.0,56.0,51.0,0.0,Right hand Bat,Right arm Medium
MA Agarwal,Batter,2756.0,0.0,131.0,125.0,0.0,Right hand Bat,Right arm Offbreak
MA Starc,Bowler,0.0,65.0,0.0,0.0,174.3,Left hand Bat,Left arm Fast
MC Henriques,Allrounder,1000.0,42.0,62.0,54.0,158.2,Right hand Bat,Right arm Fast medium
MEK Hussey,Middle order Batter,1977.0,0.0,59.0,58.0,0.0,Left hand Bat,Right arm Medium
MG Johnson,Bowler,0.0,61.0,0.0,0.0,205.2,Left hand Bat,Left arm Fast
MJ McClenaghan,Bowler,0.0,71.0,0.0,0.0,212.2,Left hand Bat,Left arm Fast medium
MK Lomror,Allrounder,527.0,0.0,40.0,35.0,0.0,Left hand Bat,Slow Left arm Orthodox
MK Pandey,Top order Batter,3942.0,0.0,174.0,162.0,0.0,Right hand Bat,Right arm Medium
MK Tiwary,Batter,1695.0,0.0,98.0,85.0,0.0,Right hand Bat,Legbreak Googly
ML Hayden,Opening Batter,1107.0,0.0,32.0,32.0,0.0,Left hand Bat,Right arm Medium
MM Ali,Batting Allrounder,1167.0,41.0,73.0,59.0,142.2,Left hand Bat,Right arm Offbreak
MM Patel,Bowler,0.0,74.0,0.0,0.0,225.5,Right hand Bat,Right arm Medium fast
MM Sharma,Bowler,0.0,134.0,0.0,0.0,400.3,Right hand Bat,Right arm Medium
MP Stoinis,Batting Allrounder,2026.0,44.0,109.0,99.0,148.0,Right hand Bat,Right arm Medium
MR Marsh,Allrounder,1292.0,0.0,55.0,49.0,0.0,Right hand Bat,Right arm Medium
MS Bisla,Wicketkeeper,798.0,0.0,39.0,39.0,0.0,Right hand Bat,Unknown
MS Dhoni,Wicketkeeper Batter,5439.0,0.0,278.0,242.0,0.0,Right hand Bat,Right arm Medium
Mandeep Singh,Allrounder,1706.0,0.0,111.0,98.0,0.0,Right hand Bat,Right arm Medium
Mohammed Shami,Bowler,0.0,133.0,0.0,0.0,434.2,Right hand Bat,Right arm Fast
Mohammed Siraj,Bowler,0.0,109.0,0.0,0.0,383.2,Right hand Bat,Right arm Fast
Mustafizur Rahman,Bowler,0.0,65.0,0.0,0.0,227.2,Left hand Bat,Left arm Fast medium
N Pooran,Wicketkeeper Batter,2293.0,0.0,90.0,87.0,0.0,Left hand Bat,Right arm Offbreak
N Rana,Middle order Batter,2853.0,0.0,118.0,112.0,0.0,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak"
N Wadhera,Top order Batter,719.0,0.0,36.0,31.0,0.0,Left hand Bat,Legbreak
NM Coulter-Nile,Bowling Allrounder,0.0,48.0,0.0,0.0,142.5,Right hand Bat,Right arm Fast
NV Ojha,Wicketkeeper Batter,1554.0,0.0,113.0,94.0,0.0,Right hand Bat,Unknown
Noor Ahmad,Bowler,0.0,48.0,0.0,0.0,132.0,Right hand Bat,Left arm Wrist spin
P Kumar,Bowler,0.0,90.0,0.0,0.0,420.4,Right hand Bat,Right arm Medium
PA Patel,Wicketkeeper Batter,2848.0,0.0,139.0,137.0,0.0,Left hand Bat,Right arm Offbreak
PD Salt,Wicketkeeper Batter,1056.0,0.0,34.0,34.0,0.0,Right hand Bat,Right arm Offbreak
PJ Cummins,Bowler,612.0,79.0,72.0,50.0,269.3,Right hand Bat,Right arm Fast
PP Chawla,Bowling Allrounder,624.0,192.0,192.0,92.0,641.4,Left hand Bat,Legbreak
PP Ojha,Bowler,0.0,89.0,0.0,0.0,316.3,Left hand Bat,Slow Left arm Orthodox
PP Shaw,Opening Batter,1892.0,0.0,79.0,79.0,0.0,Right hand Bat,Right arm Offbreak
Q de Kock,Wicketkeeper Batter,3309.0,0.0,115.0,115.0,0.0,Left hand Bat,Unknown
R Ashwin,Bowling Allrounder,833.0,187.0,221.0,98.0,785.0,Right hand Bat,Right arm Offbreak
R Bhatia,Allrounder,0.0,71.0,0.0,0.0,272.4,Right hand Bat,Right arm Medium fast
R Dravid,Top order Batter,2174.0,0.0,89.0,82.0,0.0,Right hand Bat,Right arm Offbreak
R Parag,Top order Batter,1566.0,0.0,84.0,72.0,0.0,Right hand Bat,"Right arm Offbreak, Legbreak"
R Tewatia,Bowling Allrounder,1112.0,0.0,108.0,77.0,0.0,Left hand Bat,Legbreak
R Vinay Kumar,Bowler,0.0,105.0,0.0,0.0,353.4,Right hand Bat,Right arm Medium
RA Jadeja,Allrounder,3260.0,170.0,254.0,198.0,676.0,Left hand Bat,Slow Left arm Orthodox
